Price,Close,High,Low,Open,Volume,MA20,MA50
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,
Date,,,,,,,
2025-09-05,3036.97314453125,3091.868257451282,3017.3463946381216,3085.5918616420554,2802055,,
2025-09-08,3007.781982421875,3053.5113296442846,3004.7931298391436,3038.666792443431,2626187,,
2025-09-09,3038.06884765625,3048.6295571410296,3019.538108052908,3020.833326119296,2489301,,
2025-09-10,3098.44384765625,3111.0966082909868,3042.0540649039185,3045.0429174900823,2079428,,
2025-09-11,3112.591064453125,3127.336119333051,3098.5436031034214,3127.336119333051,2263446,,
2025-09-12,3121.7568359375,3137.0000329464906,3109.4030090679694,3132.3175458217547,1447167,,
2025-09-15,3100.336669921875,3122.3546477883615,3084.4958486128803,3122.3546477883615,1732539,,
2025-09-16,3134.01123046875,3138.2953012727335,3097.5473738607,3116.377048374956,2573429,,
2025-09-17,3161.010498046875,3170.5746802441777,3130.7233130051436,3140.287738435889,2418271,,
2025-09-18,3164.89599609375,3191.0983194206656,3149.652799058944,3173.1652036699406,2633138,,
2025-09-19,3157.423828125,3168.681888196503,3132.3175150101574,3158.220904129198,4901694,,
2025-09-22,3062.37841796875,3095.355278998739,3053.6110683753386,3083.499594330073,3634901,,
2025-09-23,3051.0205078125,3069.252556548476,3040.6592498638747,3058.592364705798,3177741,,
2025-09-24,3024.120849609375,3045.640684813108,3021.7298649127106,3038.666695675492,1625714,,
2025-09-25,2946.41064453125,3018.3425546653493,2940.03452327195,3010.7706978406754,4974361,,
2025-09-26,2888.32763671875,2943.820618304199,2880.5565712711505,2930.07184762513,3934636,,
2025-09-29,2885.338623046875,2918.4152081680195,2883.2463290392707,2905.164580331207,3110035,,
2025-09-30,2877.667236328125,2904.467427717032,2874.379692997371,2900.183356935398,2253458,,
2025-10-01,2903.371337890625,2913.932047598146,2855.9483563860495,2880.257593329001,1952902,,
2025-10-03,2891.116943359375,2913.134920868619,2880.3572688813597,2913.134920868619,2899519,3033.152307128906,
2025-10-06,2977.295654296875,2982.476526807699,2884.840673623438,2891.2167953135195,2112774,3030.1684326171876,
2025-10-07,2962.650146484375,2993.335747140356,2944.517823489207,2983.87104765697,3062943,3027.9118408203126,
2025-10-08,3015.951416015625,3031.692754680041,2956.9714413047523,2963.9454305531126,4121889,3026.8059692382812,
2025-10-09,3050.3232421875,3054.6073128319636,3008.7782402976286,3022.726218895035,3211304,3024.399938964844,
2025-10-10,3017.04736328125,3058.5923640088854,2995.726736367315,3038.666680855733,8817365,3019.62275390625,
2025-10-13,2996.02587890625,3024.220771178156,2987.059320862895,3015.7523552483212,2866865,3013.3362060546874,
2025-10-14,2949.300048828125,3015.9513618688843,2944.5178362112756,3009.774448720779,3611416,3005.784375,
2025-10-15,2969.800048828125,2979.699951171875,2951.0,2971.0,4282226,2997.5738159179687,
2025-10-16,2970.699951171875,2975.0,2943.10009765625,2969.89990234375,3251495,2988.0582885742188,
2025-10-17,2962.199951171875,2988.800048828125,2955.39990234375,2970.0,4374683,2977.923486328125,
2025-10-20,3015.199951171875,3023.0,2978.5,2985.5,3133039,2970.812292480469,
2025-10-21,3006.699951171875,3031.800048828125,2996.0,3031.10009765625,310644,2968.028369140625,
