symbol,entry_dt,entry,sl,tp,exit_dt,exit_price,outcome,pnl,touch_dt,atr_pct_at_touch,hidden_atr_pct_rollmean40
TATAMOTORS,2015-02-02 14:45:00,405.75,408.9714285714286,398.5017857142857,2015-02-02 14:55:00,408.9714285714286,L,-3.2214285714285893,2015-02-02 14:40:00,0.39687428501029604,0.28204007127774355
TATAMOTORS,2015-02-03 10:50:00,413.1,415.45000000000005,407.8125,2015-02-03 11:10:00,415.45000000000005,L,-2.3500000000000227,2015-02-03 10:45:00,0.2844347615589463,0.3974743524965035
TATAMOTORS,2015-02-04 11:50:00,408.5,411.15714285714284,402.5214285714286,2015-02-04 15:00:00,407.25,EOD+,1.25,2015-02-04 11:45:00,0.3252316838608142,0.4071255894032822
TATAMOTORS,2015-02-05 09:20:00,405.45,408.0714285714286,399.55178571428564,2015-02-05 10:05:00,408.0714285714286,L,-2.6214285714286234,2015-02-05 09:15:00,0.3231942511932683,0.3158298049083924
TATAMOTORS,2015-02-05 11:50:00,409.15,411.85714285714283,403.05892857142857,2015-02-05 12:40:00,411.85714285714283,L,-2.7071428571428555,2015-02-05 11:45:00,0.33078480659125603,0.4407031003421569
TATAMOTORS,2015-02-05 14:20:00,411.65,414.6714285714285,404.8517857142857,2015-02-05 15:00:00,411.45,EOD+,0.19999999999998863,2015-02-05 14:15:00,0.36694541795343316,0.3455470975926253
TATAMOTORS,2015-02-06 11:10:00,382.65,385.0285714285714,377.29821428571427,2015-02-06 11:40:00,385.0285714285714,L,-2.3785714285714334,2015-02-06 11:05:00,0.3107212839414,0.6213751280375874
TATAMOTORS,2015-02-06 12:50:00,383.7,386.17857142857144,378.12321428571425,2015-02-06 14:35:00,386.17857142857144,L,-2.478571428571456,2015-02-06 12:45:00,0.3230250786617271,0.5122710535758681
TATAMOTORS,2015-02-09 10:55:00,378.5,380.65,373.6625,2015-02-09 15:00:00,374.2,EOD+,4.300000000000011,2015-02-09 10:50:00,0.28401585204755636,0.38153305939076265
TATAMOTORS,2015-02-10 12:00:00,384.25,386.8928571428571,378.30357142857144,2015-02-10 14:50:00,386.8928571428571,L,-2.6428571428571104,2015-02-10 11:55:00,0.34380865654444215,0.3789258531010743
TATAMOTORS,2015-02-11 11:25:00,383.15,385.65,377.525,2015-02-11 14:50:00,385.65,L,-2.5,2015-02-11 11:20:00,0.3262429857758069,0.4337249753424528
TATAMOTORS,2015-02-12 12:40:00,382.55,384.40714285714284,378.3714285714286,2015-02-12 13:20:00,384.40714285714284,L,-1.8571428571428328,2015-02-12 12:35:00,0.24273204249677705,0.2836888101883106
TATAMOTORS,2015-02-13 09:20:00,385.4,387.5642857142857,380.53035714285716,2015-02-13 12:40:00,387.5642857142857,L,-2.164285714285711,2015-02-13 09:15:00,0.2807843427978339,0.2581267029870999
TATAMOTORS,2015-02-18 10:10:00,392.3,395.76428571428573,384.5053571428572,2015-02-18 10:25:00,395.76428571428573,L,-3.4642857142857224,2015-02-18 10:05:00,0.44170415839419946,0.22343021221433879
TATAMOTORS,2015-02-18 13:55:00,400.35,402.2142857142857,396.15535714285716,2015-02-18 14:40:00,402.2142857142857,L,-1.8642857142856997,2015-02-18 13:50:00,0.2328029113743412,0.2590469184628864
TATAMOTORS,2015-02-19 10:10:00,402.65,406.8714285714285,393.1517857142857,2015-02-19 15:00:00,396.1,EOD+,6.5499999999999545,2015-02-19 10:05:00,0.5242057086090347,0.31337316760068
